OBJECTID,DCH_FEA_KEY,DCH_GRPH_KEY,DCH_FEATYPE_TEXT,DCH_OWNER_NAME,DCH_PRBL_FLOW_TYPE,DCH_MATERIAL_TYPE,DCH_PIPE_SHP_TEXT,DCH_LIFECYCLE_STAT,DCH_DSTNTN_TYPE,DCH_INSPECT_FLAG,DCH_CASING_FLAG,DCH_PERF_PIPE_FLAG,DCH_LENGTH_FT_NBR,DCH_WIDTH_IN_NBR,DCH_HEIGHT_IN_NBR,DCH_UPS_ELEV_FT_NBR,DCH_DNS_ELEV_FT_NBR,DCH_INSTALL_DATE,DCH_LST_UPDT_DATE,DCH_STREAM_NAME,DCH_GSIP_NAME,SHAPE_Length
73896,8123059,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Unknown,Connected,,Y,N,Y,6.24,4,4,,,2018/08/13 11:17:20+00,2020/01/16 00:00:00+00,,,6.24298140323832
73899,8123203,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,13.21,4,4,,,2017/11/13 08:34:24+00,2020/01/17 00:00:00+00,,,13.2144128639676
73902,8123210,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.87,4,4,,,2017/11/13 08:34:24+00,2020/01/17 00:00:00+00,,,14.8747497036567
73922,8123335,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.92,4,4,,,2018/04/12 10:41:00+00,2020/01/17 00:00:00+00,,,8.91699799921216
73924,8123349,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,8.51,4,4,,,2018/12/18 14:51:06+00,2020/01/17 00:00:00+00,,,8.50903036299301
73926,8123372,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,19.03,4,4,,,2018/04/12 10:41:00+00,2020/01/21 00:00:00+00,,,19.0256431894854
73927,8123504,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,15.71,,,,,2017/11/13 08:34:24+00,2020/01/17 00:00:00+00,,,15.7101016161856
73929,8123600,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,16.54,4,4,,,2018/04/12 10:41:00+00,2020/01/17 00:00:00+00,,,16.5442240715536
73930,8123663,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,7.17,4,4,,,2018/06/13 08:34:24+00,2020/01/17 00:00:00+00,,,7.17300768588984
73932,8123690,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,43.43,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,43.4294970754321
73933,8123694,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,41.51,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,41.512587945922
73948,8123753,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,11.35,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,11.3479384290558
73949,8123756,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,3.89,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,3.89438721342621
73950,8123759,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.03,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,2.02564087028405
73951,8123762,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.5,4,4,,,2018/06/21 12:35:27+00,2020/01/17 00:00:00+00,,,2.50325473469564
73954,8123779,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,8.64,4,4,,,2018/12/31 13:24:54+00,2020/01/17 00:00:00+00,,,8.64412438877032
73955,8123782,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,26.04,4,4,,,2018/12/31 13:24:54+00,2020/01/17 00:00:00+00,,,26.0411251685946
73960,8123841,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,25.67,4,4,,,2018/12/31 13:24:54+00,2020/01/17 00:00:00+00,,,25.6666893209145
73961,8123843,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,9.79,4,4,,,2018/12/31 13:24:54+00,2020/01/17 00:00:00+00,,,9.79285792982268
73964,8124010,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,17.58,4,4,,,2018/08/30 10:41:00+00,2020/01/21 00:00:00+00,,,17.5809243378825
73982,8124427,0,Rain Garden,Private,Drainage,Vegetation,Rectangular,Connected,,Y,N,Y,16.49,,,,,2018/07/06 13:47:02+00,2020/01/22 00:00:00+00,,,16.4939699662762
73986,8124474,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,130.99,,,,,2009/02/11 11:23:59+00,2020/01/22 00:00:00+00,,,130.984954104199
73987,8124477,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,141,,,,,2009/02/11 11:23:59+00,2020/01/22 00:00:00+00,,,141.00479988397
73988,8124500,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,128.2,,,,,2009/02/11 11:23:59+00,2020/01/22 00:00:00+00,,,128.200045869103
73990,8124529,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,19.05,4,4,,,2018/07/19 13:47:02+00,2020/01/22 00:00:00+00,,,19.0482025893895
73999,8124710,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,23.82,4,4,,,2018/09/27 08:34:24+00,2020/01/23 00:00:00+00,,,23.8174121989383
74000,8124712,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,6.75,4,4,,,2018/09/27 08:34:24+00,2020/01/23 00:00:00+00,,,6.74926442309824
74001,8124714,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,36.07,4,4,,,2018/09/27 08:34:24+00,2020/01/23 00:00:00+00,,,36.0667717411918
74004,8124747,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,10.49,4,4,,,2018/08/28 08:34:24+00,2020/01/23 00:00:00+00,,,10.4894370074415
74005,8124749,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.8,4,4,,,2018/08/28 08:34:24+00,2020/01/23 00:00:00+00,,,9.79985336070768
74006,8124785,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,27.41,4,4,,,2018/08/29 08:34:24+00,2020/01/23 00:00:00+00,,,27.4061586382238
74007,8124788,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,10.99,4,4,,,2018/08/29 08:34:24+00,2020/01/23 00:00:00+00,,,10.9940092531579
